CPO	REF	LAT NAP	LON NAP	LAT OSM	LON OSM	DIST (m)	LOCATION
EDP	AGH-00005	38.6566350	-27.2113950	38.6556300	-27.2116550	114.01	surface
EDP	FLG-00011	41.3700450	-8.2033400	41.3704036	-8.2020723	113.05	surface
EDP	FAL-90001	38.0584500	-8.1138530	38.0588102	-8.1126485	112.81	surface
EDP	VLP-00006	41.6096500	-7.3091280	41.6092229	-7.3103511	112.23	surface
MAK	LSB-00436	38.7239950	-9.1523620	38.7230030	-9.1521317	112.10	underground
EDP	FAR-00022	37.0968360	-7.8953230	37.0972221	-7.8964899	112.04	underground
EPK	PRT-00372	41.1624200	-8.6664780	41.1634020	-8.6666774	110.46	underground
EDP	PVZ-00027	41.3780820	-8.7664740	41.3779941	-8.7651611	109.98	underground
MAK	LSB-01125	38.7239950	-9.1523620	38.7230214	-9.1521501	109.81	underground
EDP	FLG-00012	41.3700450	-8.2033400	41.3704230	-8.2021244	109.80	surface
MAK	LSB-01126	38.7239950	-9.1523620	38.7230384	-9.1521676	107.70	underground
ATL	ORM-00023	39.6305800	-8.6762200	39.6303375	-8.6774337	107.38	surface
EVP	ARV-00012	38.9980470	-9.0849370	38.9982332	-9.0837246	106.80	surface
EDP	SEI-00007	40.4185200	-7.7045370	40.4180959	-7.7056639	106.42	surface
EDP	MGL-00009	40.6080800	-7.7629420	40.6071861	-7.7633614	105.51	surface
MOT	FAR-00026	37.0295800	-7.9454400	37.0296584	-7.9442577	105.31	surface
EDP	LSB-00315	38.7624900	-9.1608500	38.7620258	-9.1618950	104.28	underground
EDP	LSB-00314	38.7624900	-9.1608500	38.7620153	-9.1618858	104.17	underground
ATL	ORM-00024	39.6305800	-8.6762200	39.6303649	-8.6773908	103.08	surface
EDP	VNC-00006	41.9424000	-8.7392980	41.9415480	-8.7388110	102.95	surface
EML	LSB-00616	38.7442600	-9.1309950	38.7449218	-9.1301691	102.69	underground
EDP	SEI-00006	40.4185200	-7.7045370	40.4181281	-7.7056272	102.06	surface
EDP	AFE-00002	41.3416300	-6.9624440	41.3411810	-6.9613807	101.85	surface
EDP	VIS-00082	40.6567100	-7.9135050	40.6558498	-7.9131702	99.73	surface
EDP	EPS-00007	41.5172960	-8.7852270	41.5166017	-8.7859805	99.48	surface
MAK	LSB-00725	38.7161450	-9.1542860	38.7155502	-9.1551302	98.69	underground
ATL	ABT-00034	39.4659000	-8.2050200	39.4662146	-8.2039480	98.45	surface
ATL	ORM-00025	39.6305900	-8.6762300	39.6303943	-8.6773461	98.03	surface
EDP	MTA-00016	38.6492000	-8.9996000	38.6500149	-8.9991708	97.98	surface
EDP	LMG-00010	41.1003900	-7.8190060	41.0995694	-7.8185822	97.91	surface
EML	LSB-00617	38.7442600	-9.1309950	38.7448813	-9.1301975	97.76	underground
EDP	GDM-00007	41.1412500	-8.5728140	41.1419025	-8.5735948	97.67	underground
IBD	MOBI-CHV-00003	41.6329770	-7.5737260	41.6321456	-7.5740953	97.41	surface
ATL	GDM-00040	41.1516800	-8.5163800	41.1508247	-8.5161369	97.26	surface
EDP	VCT-00011	41.7007300	-8.8232900	41.7011913	-8.8222948	97.25	surface
EDP	VND-00009	38.6197780	-8.5803190	38.6206410	-8.5804929	97.14	surface
EDP	LSB-00835	38.7305800	-9.1573270	38.7304030	-9.1562350	96.75	underground
EDP	SNT-00147	38.8442100	-9.3208010	38.8450729	-9.3206931	96.40	surface
MAK	LSB-00724	38.7161450	-9.1542860	38.7155583	-9.1551031	96.34	underground
EDP	EPS-00006	41.5172960	-8.7852270	41.5166052	-8.7859217	96.15	surface
CGG	PTL-00006	41.7927500	-8.5416380	41.7929540	-8.5405140	95.90	surface
EDP	ACB-00026	39.5444450	-8.9691390	39.5450815	-8.9698857	95.44	surface
IBD	MOBI-CHV-00002	41.6329770	-7.5737260	41.6321551	-7.5740390	95.02	surface
GEN	GMR-00073	41.4321750	-8.2682850	41.4313254	-8.2681858	94.83	surface
EDP	CBR-00082	40.2143500	-8.4359520	40.2135389	-8.4362890	94.62	underground
MAK	LSB-00723	38.7161450	-9.1542860	38.7155676	-9.1550769	93.97	underground
EDP	LSB-00106	38.7302670	-9.1572790	38.7303639	-9.1562045	93.83	underground
ATL	ABT-00030	39.4659000	-8.2050200	39.4662135	-8.2040055	93.81	surface
EDP	ABF-00127	37.0789450	-8.2817360	37.0783736	-8.2825018	93.02	surface
EML	LSB-00618	38.7442600	-9.1309950	38.7448418	-9.1302254	92.95	underground
EDP	OER-00136	38.7054060	-9.2951060	38.7046878	-9.2945614	92.79	underground
EDP	BGC-00024	41.8128780	-6.7408600	41.8120468	-6.7409307	92.61	surface
EDP	GDL-00044	38.1890070	-8.5656570	38.1891433	-8.5666929	91.79	surface
MAK	LSB-00443	38.7161450	-9.1542860	38.7155762	-9.1550504	91.64	underground
FAC	SCR-00003	32.6923000	-16.7749180	32.6931225	-16.7749690	91.58	surface
EDP	CSC-00099	38.7253100	-9.3357960	38.7247522	-9.3365721	91.54	surface
EDP	CBR-00119	40.2099700	-8.4430110	40.2094887	-8.4438746	90.79	surface
PRP	LRA-00089	39.7134130	-8.7096630	39.7126149	-8.7094418	90.74	surface
MAK	LSB-00774	38.7432300	-9.1388235	38.7435083	-9.1378400	90.74	underground
EDP	MAI-00021	41.2339480	-8.6232270	41.2341875	-8.6221937	90.42	surface
EDP	CBR-00035	40.2142680	-8.4359300	40.2134937	-8.4362454	90.17	underground
EDP	BGC-00025	41.8128780	-6.7408600	41.8120720	-6.7408845	89.65	surface
MAK	LSB-00442	38.7161450	-9.1542860	38.7155851	-9.1550241	89.31	underground
EDP	VIS-00004	40.6546170	-7.9123960	40.6539812	-7.9117502	89.25	surface
ATL	BGC-00028	41.7871900	-6.7778500	41.7879525	-6.7781699	88.84	surface
EDP	VIS-00111	40.6551320	-7.9131710	40.6551247	-7.9121191	88.74	surface
EDP	MTJ-00102	38.7069440	-8.9580560	38.7074154	-8.9572337	88.54	surface
EDP	MAI-00007	41.2339480	-8.6232270	41.2340455	-8.6221776	88.42	surface
EDP	OHP-00020	40.3569700	-7.8561940	40.3569648	-7.8551519	88.30	surface
MAK	LSB-00773	38.7432300	-9.1388235	38.7435015	-9.1378677	88.22	underground
EML	LSB-00619	38.7442600	-9.1309950	38.7448034	-9.1302539	88.22	underground
EVC	CHV-00021	41.7091800	-7.5668880	41.7094173	-7.5678965	87.78	surface
EDP	VIS-00005	40.6546170	-7.9123960	40.6539831	-7.9117793	87.61	surface
EDP	LLE-00214	37.0820500	-8.1071960	37.0812766	-8.1070079	87.60	surface
MOT	FAR-00078	37.0290000	-7.9450000	37.0296296	-7.9444074	87.57	surface
FAC	SCR-00002	32.6923400	-16.7748550	32.6931196	-16.7749660	87.31	surface
MAK	LSB-00441	38.7161450	-9.1542860	38.7155942	-9.1549974	86.95	underground
EDP	LLE-00026	37.0767020	-8.1175700	37.0759504	-8.1173051	86.82	underground
EVP	PTM-00047	37.1176600	-8.5295200	37.1184370	-8.5294436	86.66	surface
EDP	MFR-00038	38.9325560	-9.3309270	38.9327624	-9.3299638	86.42	surface
EMA	PMZ-00003	32.8675000	-17.1669450	32.8669198	-17.1675526	85.92	surface
EDP	AGH-00002	38.6678300	-27.2153050	38.6684338	-27.2159209	85.83	surface
EDP	ABF-00094	37.1045570	-8.2351830	37.1039984	-8.2345176	85.67	surface
MAK	LSB-00772	38.7432300	-9.1388235	38.7434941	-9.1378955	85.67	underground
EDP	CBR-00120	40.2099600	-8.4430100	40.2095157	-8.4438293	85.33	surface
EDP	LSB-00317	38.7624900	-9.1608500	38.7620676	-9.1616713	85.31	underground
EDP	GDL-00060	38.1890220	-8.5656760	38.1891361	-8.5666358	84.84	surface
MAK	LSB-00156	38.7360460	-9.1403580	38.7366870	-9.1408863	84.73	underground
EDP	GDL-00030	38.1674840	-8.4902850	38.1675885	-8.4912409	84.37	surface
EDP	EVR-00042	38.5752300	-7.9136600	38.5758035	-7.9130270	84.23	surface
MAK	LSB-00157	38.7360460	-9.1403580	38.7366891	-9.1408579	83.63	underground
EML	LSB-00620	38.7442600	-9.1309950	38.7447644	-9.1302817	83.50	underground
EDP	MAI-00010	41.2339480	-8.6232270	41.2341809	-8.6222802	83.30	surface
MOT	FAR-00013	37.0290800	-7.9449400	37.0296470	-7.9443341	82.87	surface
MAK	LSB-00313	38.7432300	-9.1388235	38.7434843	-9.1379257	82.84	underground
CPS	CSC-00568	38.7112100	-9.3867000	38.7114544	-9.3857997	82.71	surface
PRP	LRA-00088	39.7123640	-8.7113000	39.7130405	-8.7117009	82.67	surface
EDP	LRS-80008	38.8285520	-9.1663870	38.8290214	-9.1671264	82.62	surface
MAK	LSB-00158	38.7360460	-9.1403580	38.7366913	-9.1408296	82.59	underground
EDP	MTJ-00105	38.7021200	-8.9468850	38.7028319	-8.9466146	82.56	surface
EDP	SXL-00037	38.6393700	-9.1509970	38.6386825	-9.1506431	82.39	surface
EDP	LNH-00015	39.2467160	-9.3129290	39.2472357	-9.3122479	82.34	surface
EDP	ETR-00002	40.7556700	-8.5351970	40.7549749	-8.5348792	81.80	surface
ATL	SSB-00015	38.5738070	-9.0372770	38.5744525	-9.0377242	81.63	surface
MAK	LSB-00729	38.7360460	-9.1403580	38.7366933	-9.1408003	81.56	underground
MLT	LRS-00066	38.7941470	-9.1024110	38.7940559	-9.1033437	81.47	indoor
EDP	MTG-00006	40.4032900	-7.5354000	40.4029464	-7.5362462	81.20	surface
EDP	MAI-00008	41.2339480	-8.6232270	41.2340400	-8.6222645	81.13	surface
EDP	PLM-00061	38.6355550	-8.9086750	38.6362835	-8.9086515	81.03	surface
EDP	BAO-00005	41.1099700	-8.0062740	41.1106419	-8.0066441	80.89	surface
MAK	LSB-00730	38.7360460	-9.1403580	38.7366955	-9.1407719	80.65	underground
HRZ	MNC-00012	42.0670700	-8.5023750	42.0675523	-8.5016462	80.59	surface
EDP	CBR-00122	40.2099600	-8.4430100	40.2095421	-8.4437838	80.48	surface
EDP	LSB-00316	38.7624900	-9.1608500	38.7620910	-9.1616222	80.32	underground
MAK	LSB-00312	38.7432300	-9.1388235	38.7434760	-9.1379535	80.26	underground
MAK	LSB-00193	38.7375200	-9.1344580	38.7371626	-9.1352580	79.96	underground
MAK	LSB-00731	38.7360460	-9.1403580	38.7366977	-9.1407433	79.80	underground
EDP	GDL-00029	38.1674840	-8.4902850	38.1675425	-8.4911894	79.33	surface
EDP	MAI-00054	41.2463100	-8.6646350	41.2469366	-8.6650852	79.19	surface
MAK	LSB-01173	38.7323900	-9.1455530	38.7318248	-9.1449980	79.17	surface
HRZ	ALD-00003	40.6180080	-6.8437070	40.6185436	-6.8443239	79.11	surface
EDP	ABF-00188	37.0942400	-8.2503400	37.0943266	-8.2494642	78.27	surface
MAK	LSB-00311	38.7432300	-9.1388235	38.7434684	-9.1379797	77.83	underground
MAK	LSB-00756	38.7068860	-9.1684610	38.7072948	-9.1677334	77.80	underground
EDP	BGC-00011	41.8123250	-6.7419910	41.8125645	-6.7411091	77.79	surface
MAK	LSB-00194	38.7375200	-9.1344580	38.7371641	-9.1352291	77.71	underground
MAK	LSB-01172	38.7323900	-9.1455530	38.7318248	-9.1450267	77.68	surface
GEN	GMR-00104	41.4401440	-8.2966210	41.4407408	-8.2961392	77.57	underground
EDP	PNF-00021	41.1943200	-8.3014300	41.1942302	-8.3023447	77.18	surface
EDP	AMD-00120	38.7578620	-9.2243430	38.7572105	-9.2246461	77.06	surface
EDP	ALM-00072	38.6344100	-9.1451290	38.6343870	-9.1442425	77.04	surface
EDP	ETR-00021	40.7557680	-8.5369430	40.7552062	-8.5364092	76.97	surface
CGG	CMN-00007	41.8776250	-8.8381640	41.8773565	-8.8373112	76.66	surface
MAK	LSB-01171	38.7323900	-9.1455530	38.7318248	-9.1450550	76.26	surface
EDP	LGA-00020	37.0934600	-8.4009300	37.0931548	-8.4016986	76.15	surface
