Station ID	OPC	EVSE ID	Connector Type	Charging Mode	Voltage (V)	Max Current (A)	Calculated Power (W)	Claimed Power (W)	Power Difference (W)
EVR-00022	MOO	PT*MOO*E*EVR*00022*01	iec62196T2COMBO	mode4DC	500.0	500.0	250000.0	300000.0	-50000.0
EVR-00022	MOO	PT*MOO*E*EVR*00022*02	iec62196T2COMBO	mode4DC	500.0	500.0	250000.0	300000.0	-50000.0
MTJ-00035	HRZ	PT*HRZ*E*MTJ*00035*04	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	150000.0	-50000.0
MTJ-00035	HRZ	PT*HRZ*E*MTJ*00035*05	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	150000.0	-50000.0
NZR-00025	HRZ	PT*HRZ*E*NZR*00025*02	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	150000.0	-50000.0
ODV-00018	HRZ	PT*HRZ*E*ODV*00018*01	iec62196T2COMBO	mode4DC	500.0	300.0	150000.0	200000.0	-50000.0
ODV-00018	HRZ	PT*HRZ*E*ODV*00018*02	iec62196T2COMBO	mode4DC	500.0	300.0	150000.0	200000.0	-50000.0
STC-00009	HRZ	PT*HRZ*E*STC*00009*03	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	150000.0	-50000.0
STC-00009	HRZ	PT*HRZ*E*STC*00009*04	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	150000.0	-50000.0
VLG-00024	HRZ	PT*HRZ*E*VLG*00024*03	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	150000.0	-50000.0
VLG-00024	HRZ	PT*HRZ*E*VLG*00024*04	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	150000.0	-50000.0
VLG-00024	HRZ	PT*HRZ*E*VLG*00024*05	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	150000.0	-50000.0
VRL-00015	HRZ	PT*HRZ*E*VRL*00015*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	150000.0	-50000.0
VRL-00015	HRZ	PT*HRZ*E*VRL*00015*02	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	150000.0	-50000.0
CSC-00198	EDP	PT*EDP*E*CSC*00198*01	iec62196T2COMBO	mode4DC	400.0	185.0	74000.0	120000.0	-46000.0
CSC-00198	EDP	PT*EDP*E*CSC*00198*02	iec62196T2COMBO	mode4DC	400.0	185.0	74000.0	120000.0	-46000.0
LGA-00025	EDP	PT*EDP*E*LGA*00025*01	iec62196T2COMBO	mode4DC	400.0	185.0	74000.0	120000.0	-46000.0
LGA-00025	EDP	PT*EDP*E*LGA*00025*02	iec62196T2COMBO	mode4DC	400.0	185.0	74000.0	120000.0	-46000.0
SXL-00030	GLP	PT*GLP*ESXL*00030*01	iec62196T2COMBO	mode4DC	500.0	90.0	45000.0	90000.0	-45000.0
SSB-00010	PRI	PT*PRI*E*SSB*00010*01	iec62196T2COMBO	mode4DC	500.0	12.0	6000.0	50000.0	-44000.0
LRA-00075	HRZ	PT*HRZ*E*LRA*00075*04	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	100000.0	-37500.0
LSB-00491	HRZ	PT*HRZ*E*LSB*00491*02	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	100000.0	-37500.0
EPS-00005	VEI	PT*VEI*E*EPS*00005*01	chademo	mode4DC	400.0	63.0	25200.0	60000.0	-34800.0
EPS-00005	VEI	PT*VEI*E*EPS*00005*02	iec62196T2COMBO	mode4DC	400.0	63.0	25200.0	60000.0	-34800.0
PRT-00211	VEI	PT*VEI*E*PRT*00211*01	chademo	mode4DC	400.0	63.0	25200.0	60000.0	-34800.0
PRT-00211	VEI	PT*VEI*E*PRT*00211*02	iec62196T2COMBO	mode4DC	400.0	63.0	25200.0	60000.0	-34800.0
VCD-00040	VEI	PT*VEI*E*VCD*00040*01	chademo	mode4DC	400.0	63.0	25200.0	60000.0	-34800.0
VCD-00040	VEI	PT*VEI*E*VCD*00040*02	iec62196T2COMBO	mode4DC	400.0	63.0	25200.0	60000.0	-34800.0
MLD-00047	REP	PT*REP*E16787*1	iec62196T2COMBO	mode4DC	400.0	40.0	16000.0	50000.0	-34000.0
ACB-00010	HRZ	PT*HRZ*E*ACB*00010*04	iec62196T2COMBO	mode4DC	500.0	300.0	150000.0	180000.0	-30000.0
ACB-00010	HRZ	PT*HRZ*E*ACB*00010*05	iec62196T2COMBO	mode4DC	500.0	300.0	150000.0	180000.0	-30000.0
CSC-00413	GLP	PT*GLP*ECSC*00413*03	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
LSB-00316	EDP	PT*EDP*ELSB*00316*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
LSB-00317	EDP	PT*EDP*ELSB*00317*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
NZR-00015	EDP	PT*EDP*ENZR*00015*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
PNL-00002	EDP	PT*EDP*EPNL*00002*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
PRT-00074	EDP	PT*EDP*EPRT*00074*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
PRT-00075	EDP	PT*EDP*EPRT*00075*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
PRT-00076	EDP	PT*EDP*EPRT*00076*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
PRT-00077	EDP	PT*EDP*EPRT*00077*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
PRT-00078	EDP	PT*EDP*EPRT*00078*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
PRT-00079	EDP	PT*EDP*EPRT*00079*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
PRT-00084	EDP	PT*EDP*EPRT*00084*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
PRT-00089	EDP	PT*EDP*EPRT*00089*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
PRT-00090	EDP	PT*EDP*EPRT*00090*3	iec62196T2	mode2AC1p	400.0	63.0	15100.0	43000.0	-27900.0
AMD-00048	MOO	PT*MOO*E*AMD*00048*1	iec62196T2COMBO	mode4DC	500.0	32.0	16000.0	43000.0	-27000.0
MTJ-00037	MOT	PT*MOT*E*MTJ*00037*01	iec62196T2COMBO	mode4DC	400.0	87.0	34800.0	60000.0	-25200.0
MTJ-00037	MOT	PT*MOT*E*MTJ*00037*02	iec62196T2COMBO	mode4DC	400.0	87.0	34800.0	60000.0	-25200.0
PFR-00015	MOT	PT*MOT*E*PFR*00015*01	iec62196T2COMBO	mode4DC	400.0	87.0	34800.0	60000.0	-25200.0
PFR-00015	MOT	PT*MOT*E*PFR*00015*02	iec62196T2COMBO	mode4DC	400.0	87.0	34800.0	60000.0	-25200.0
GRD-00021	NRG	PT*NRG*E*GRD*00021*02	chademo	mode4DC	500.0	150.0	75000.0	100000.0	-25000.0
MOBI-PRT-00089	MOO	PT*MOO*E*MOBI*PRT*00089*01	iec62196T2COMBO	mode4DC	400.0	125.0	50000.0	75000.0	-25000.0
MOBI-PRT-00089	MOO	PT*MOO*E*MOBI*PRT*00089*02	chademo	mode4DC	400.0	125.0	50000.0	75000.0	-25000.0
VLG-00024	HRZ	PT*HRZ*E*VLG*00024*06	iec62196T2COMBO	mode4DC	500.0	250.0	125000.0	150000.0	-25000.0
MLD-00013	EZU	PT*EZU*E*MLD*00013*01	chademo	mode4DC	400.0	63.0	25200.0	50000.0	-24800.0
VND-00005	VEI	PT*VEI*E*VND*00005*01	iec62196T2COMBO	mode4DC	400.0	63.0	25200.0	50000.0	-24800.0
VND-00005	VEI	PT*VEI*E*VND*00005*02	chademo	mode4DC	400.0	63.0	25200.0	50000.0	-24800.0
TVD-00089	HLX	PT*HLX*E*TVD*00089*02	iec62196T2COMBO	mode4DC	240.0	150.0	36000.0	60000.0	-24000.0
PCV-00005	TRK	PT*TRK*E*PCV*00005*01	iec62196T2COMBO	mode4DC	400.0	91.0	36400.0	60000.0	-23600.0
PCV-00005	TRK	PT*TRK*E*PCV*00005*01	chademo	mode4DC	400.0	91.0	36400.0	60000.0	-23600.0
VNT-00006	TRK	PT*TRK*E*VNT*00006*01	iec62196T2COMBO	mode4DC	400.0	91.0	36400.0	60000.0	-23600.0
VNT-00006	TRK	PT*TRK*E*VNT*00006*02	iec62196T2COMBO	mode4DC	400.0	91.0	36400.0	60000.0	-23600.0
CSC-00216	EDP	PT*EDP*E*CSC*00216*01	iec62196T2COMBO	mode4DC	400.0	93.0	37200.0	60000.0	-22800.0
CSC-00216	EDP	PT*EDP*E*CSC*00216*02	iec62196T2COMBO	mode4DC	400.0	93.0	37200.0	60000.0	-22800.0
CSC-00217	EDP	PT*EDP*E*CSC*00217*01	iec62196T2COMBO	mode4DC	400.0	93.0	37200.0	60000.0	-22800.0
CSC-00217	EDP	PT*EDP*E*CSC*00217*02	iec62196T2COMBO	mode4DC	400.0	93.0	37200.0	60000.0	-22800.0
CSC-00339	TRK	PT*TRK*E*CSC*00339*01	iec62196T2COMBO	mode4DC	400.0	320.0	128000.0	150000.0	-22000.0
CSC-00339	TRK	PT*TRK*E*CSC*00339*02	iec62196T2COMBO	mode4DC	400.0	320.0	128000.0	150000.0	-22000.0
OFR-00008	TRK	PT*TRK*E*OFR*00008*01	iec62196T2COMBO	mode4DC	400.0	320.0	128000.0	150000.0	-22000.0
OFR-00008	TRK	PT*TRK*E*OFR*00008*02	iec62196T2COMBO	mode4DC	400.0	320.0	128000.0	150000.0	-22000.0
PCV-00006	TRK	PT*TRK*E*PCV*00006*01	iec62196T2COMBO	mode4DC	400.0	320.0	128000.0	150000.0	-22000.0
PCV-00006	TRK	PT*TRK*E*PCV*00006*02	iec62196T2COMBO	mode4DC	400.0	320.0	128000.0	150000.0	-22000.0
MLD-00046	REP	PT*REP*E16786*1	chademo	mode4DC	400.0	72.0	28800.0	50000.0	-21200.0
MLD-00046	REP	PT*REP*E16786*2	iec62196T2COMBO	mode4DC	400.0	72.0	28800.0	50000.0	-21200.0
AND-00014	ALF	PT*ALF*E*AND*00014*01	iec62196T2COMBO	mode4DC	415.0	48.0	19900.0	40000.0	-20100.0
AND-00014	ALF	PT*ALF*E*AND*00014*02	iec62196T2COMBO	mode4DC	415.0	48.0	19900.0	40000.0	-20100.0
ARV-00009	GLP	PT*GLP*EARV*00009*02	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
AVR-00039	GLG	PT*GLG*EAVR*00039*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
BRG-00080	GLG	PT*GLG*EBRG*00080*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
CBR-00044	MOT	PT*MOT*E*CBR*00044*02	chademo	mode4DC	500.0	60.0	30000.0	50000.0	-20000.0
FIG-00019	GLG	PT*GLG*EFIG*00019*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
GRD-00020	GLG	PT*GLG*EGRD*00020*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
MLD-00047	REP	PT*REP*E16787*2	chademo	mode4DC	400.0	75.0	30000.0	50000.0	-20000.0
PRD-00010	GLG	PT*GLG*EPRD*00010*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
PRT-00098	GLP	PT*GLP*EPRT*00098*03	iec62196T2	mode3AC3p	400.0	32.0	23000.0	43000.0	-20000.0
PRT-00099	GLP	PT*GLP*EPRT*00099*03	iec62196T2	mode3AC3p	400.0	32.0	23000.0	43000.0	-20000.0
TMR-00007	PLG	PT*PLG*E*TMR*00007*01	iec62196T2COMBO	mode4DC	500.0	60.0	30000.0	50000.0	-20000.0
VCD-00012	GLG	PT*GLG*EVCD*00012*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
VCD-00014	GLG	PT*GLG*EVCD*00014*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
VFR-00075	GLP	PT*GLP*EVFR*00075*03	iec62196T2	mode3AC3p	400.0	32.0	23000.0	43000.0	-20000.0
VIS-00044	GLG	PT*GLG*EVIS*00044*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
VLG-00017	GLG	PT*GLG*EVLG*00017*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
VNF-00018	CEV	PT*CEV*E*VNF*00018*03	iec62196T2	mode3AC3p	400.0	32.0	23000.0	43000.0	-20000.0
VNG-00082	GLG	PT*GLG*EVNG*00082*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
VNG-00162	GLP	PT*GLP*EVNG*00162*01	iec62196T2COMBO	mode4DC	500.0	200.0	100000.0	120000.0	-20000.0
AMT-00011	EDP	PT*EDP*E*AMT*00011*01	chademo	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
AMT-00011	EDP	PT*EDP*E*AMT*00011*02	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
AVV-00003	EVC	PT*EVC*E*AVV*00003*01	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
AVV-00003	EVC	PT*EVC*E*AVV*00003*02	chademo	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
LLE-00058	LCG	PT*LCG*E*LLE*00058*01	chademo	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
LLE-00058	LCG	PT*LCG*E*LLE*00058*02	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
LSB-00400	EDP	PT*EDP*E*LSB*00400*02	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
MAI-00021	EDP	PT*EDP*E*MAI*00021*01	chademo	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
MAI-00021	EDP	PT*EDP*E*MAI*00021*02	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
MMN-00004	VEI	PT*VEI*E*MMN*00004*01	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
MMN-00004	VEI	PT*VEI*E*MMN*00004*02	chademo	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
ORM-00014	EVC	PT*EVC*E*ORM*00014*01	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
ORM-00014	EVC	PT*EVC*E*ORM*00014*02	chademo	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
ORM-00015	EVC	PT*EVC*E*ORM*00015*01	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
ORM-00015	EVC	PT*EVC*E*ORM*00015*02	chademo	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
PNL-00002	EDP	PT*EDP*E*PNL*00002*01	chademo	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
PNL-00002	EDP	PT*EDP*E*PNL*00002*02	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
PRT-00030	EVC	PT*EVC*E*PRT*00030*1	chademo	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
PRT-00030	EVC	PT*EVC*E*PRT*00030*2	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
PTM-00031	EDP	PT*EDP*E*PTM*00031*01	chademo	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
PTM-00031	EDP	PT*EDP*E*PTM*00031*02	iec62196T2COMBO	mode4DC	500.0	63.0	31500.0	50000.0	-18500.0
TRF-00013	HRZ	PT*HRZ*E*TRF*00013*03	iec62196T2COMBO	mode4DC	1000.0	32.0	32000.0	50000.0	-18000.0
CSC-00103	HRZ	PT*HRZ*E*CSC*00103*06	iec62196T2COMBO	mode4DC	500.0	125.0	62500.0	80000.0	-17500.0
VIS-00021	VIS	PT*VIS*E*VIS*00021*01	chademo	mode4DC	500.0	87.0	43500.0	60000.0	-16500.0
VIS-00021	VIS	PT*VIS*E*VIS*00021*02	iec62196T2COMBO	mode4DC	500.0	87.0	43500.0	60000.0	-16500.0
VIS-00022	VIS	PT*VIS*E*VIS*00022*01	chademo	mode4DC	500.0	87.0	43500.0	60000.0	-16500.0
VIS-00022	VIS	PT*VIS*E*VIS*00022*02	iec62196T2COMBO	mode4DC	500.0	87.0	43500.0	60000.0	-16500.0
AGD-00019	GLP	PT*GLP*EAGD*00019*01	iec62196T2	mode2AC1p	500.0	32.0	7700.0	22000.0	-14300.0
ALB-00016	GLP	PT*GLP*EALB*00016*01	iec62196T2	mode2AC1p	400.0	32.0	7700.0	22000.0	-14300.0
ALB-00016	GLP	PT*GLP*EALB*00016*02	iec62196T2	mode2AC1p	400.0	32.0	7700.0	22000.0	-14300.0
