Station ID;OPC;EVSE ID;Connector Type;Charging Mode;Voltage (V);Max Current (A);Calculated Power (W);Claimed Power (W);Power Difference (W)
EDP-PRT-00084;EDP;PT*EDP*EPRT*00084*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
EDP-PRT-00089;EDP;PT*EDP*EPRT*00089*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
EDP-PRT-00090;EDP;PT*EDP*EPRT*00090*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
GLP-CSC-00413;GLP;PT*GLP*ECSC*00413*03;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
REP-AMD-00121;REP;PT*REP*E18099*1;iec62196T2;mode2AC1p;230.0;63.0;15100.0;43000.0;-27900.0
REP-AMD-00122;REP;PT*REP*E18100*1;iec62196T2;mode2AC1p;230.0;63.0;15100.0;43000.0;-27900.0
REP-BRG-00170;REP;PT*REP*E18106*1;iec62196T2;mode2AC1p;230.0;63.0;15100.0;43000.0;-27900.0
REP-CTB-00074;REP;PT*REP*E18174*1;iec62196T2;mode2AC1p;230.0;63.0;15100.0;43000.0;-27900.0
REP-CTB-00076;REP;PT*REP*E18175*1;iec62196T2;mode2AC1p;230.0;63.0;15100.0;43000.0;-27900.0
REP-MTS-00201;REP;PT*REP*E18264*1;iec62196T2;mode2AC1p;230.0;63.0;15100.0;43000.0;-27900.0
REP-PTL-00041;REP;PT*REP*E18191*1;iec62196T2;mode2AC1p;230.0;63.0;15100.0;43000.0;-27900.0
REP-PTL-00042;REP;PT*REP*E18192*1;iec62196T2;mode2AC1p;230.0;63.0;15100.0;43000.0;-27900.0
REP-VCT-00076;REP;PT*REP*E18378*1;iec62196T2;mode2AC1p;230.0;63.0;15100.0;43000.0;-27900.0
REP-VCT-00077;REP;PT*REP*E18379*1;iec62196T2;mode2AC1p;230.0;63.0;15100.0;43000.0;-27900.0
HRZ-VLG-00024;HRZ;PT*HRZ*E*VLG*00024*06;iec62196T2COMBO;mode4DC;500.0;250.0;125000.0;150000.0;-25000.0
MOO-MOBI-PRT-00089;MOO;PT*MOO*E*MOBI*PRT*00089*01;iec62196T2COMBO;mode4DC;400.0;125.0;50000.0;75000.0;-25000.0
MOO-MOBI-PRT-00089;MOO;PT*MOO*E*MOBI*PRT*00089*02;chademo;mode4DC;400.0;125.0;50000.0;75000.0;-25000.0
NRG-GRD-00021;NRG;PT*NRG*E*GRD*00021*02;chademo;mode4DC;500.0;150.0;75000.0;100000.0;-25000.0
VEI-VND-00005;VEI;PT*VEI*E*VND*00005*01;iec62196T2COMBO;mode4DC;400.0;63.0;25200.0;50000.0;-24800.0
VEI-VND-00005;VEI;PT*VEI*E*VND*00005*02;chademo;mode4DC;400.0;63.0;25200.0;50000.0;-24800.0
HLX-TVD-00089;HLX;PT*HLX*E*TVD*00089*02;iec62196T2COMBO;mode4DC;240.0;150.0;36000.0;60000.0;-24000.0
TRK-PCV-00005;TRK;PT*TRK*E*PCV*00005*01;iec62196T2COMBO;mode4DC;400.0;91.0;36400.0;60000.0;-23600.0
TRK-PCV-00005;TRK;PT*TRK*E*PCV*00005*01;chademo;mode4DC;400.0;91.0;36400.0;60000.0;-23600.0
TRK-VNT-00006;TRK;PT*TRK*E*VNT*00006*01;iec62196T2COMBO;mode4DC;400.0;91.0;36400.0;60000.0;-23600.0
TRK-VNT-00006;TRK;PT*TRK*E*VNT*00006*02;iec62196T2COMBO;mode4DC;400.0;91.0;36400.0;60000.0;-23600.0
REM-CNF-00009;REM;PT*REM*E*CNF*00009*01;iec62196T2COMBO;mode4DC;400.0;93.0;37200.0;60000.0;-22800.0
REM-CNF-00009;REM;PT*REM*E*CNF*00009*02;iec62196T2COMBO;mode4DC;400.0;93.0;37200.0;60000.0;-22800.0
REP-VFX-00024;REP;PT*REP*E*VFX*00024*03;iec62196T2;mode3AC3p;230.0;32.0;23000.0;45000.0;-22000.0
